question,selected,diversity
申请和受理劳动争议调解仲裁时间上有什么限制,"劳动争议申请仲裁的时效是多久？, 劳动争议仲裁时效期是从什么时候开始计算的？, 劳动争议仲裁申请的时效期有何特殊规定？, 劳动争议的仲裁时效期是基于什么原则设定的？, 申请劳动仲裁的期限规定是什么？",4.05803644657135
商标注册有什么相对禁止的条件,"商标注册有哪些显著特征要求？, 商标是否可以使用与他人相同或类似的名称？, 如何避免商标与政府标志或国际组织标志冲突？, 什么情况下商标的注册会侵犯他人的权益？, 商标能否仅由商品的形状或技术特征决定？",7.560738921165466
取保侯审期间酒后驾车交警抓住怎么处理？,"被取保候审期间如果酒后驾车被交警抓住怎么处理？, 被取保候审的人在酒驾后会面临哪些法律责任？, 取保候审期间酒驾被查如何影响保证金和审判结果？, 取保候审期间酒后驾车被处罚的具体程序是怎样的？, 取保候审中的犯罪嫌疑人酒驾被抓，如何处理？",5.122103005647659
公司破产孕妇怎么赔偿,"公司破产后，孕妇能获得怎样的赔偿？, 单位破产，孕妇的经济赔偿是否有所不同？, 在公司破产的情况下，怀孕职工的赔偿标准是怎样的？, 孕妇在单位破产时，可以通过什么方式要求赔偿？, 公司破产后，怀孕女性的赔偿有什么特别考虑？",4.655510753393173
委托专业律师草拟购房合同多少费用,"请问我委托专业律师起草购房合同需要支付多少费用？, 请提供律师草拟购房合同的收费情况，是否可以当面协商？, 请问律师收费标准是怎样的，如果我需要他们帮助起草购房合同？, 律师为我起草购房合同时的费用大约会是多少，是否可以面对面协商？, 购房合同的草拟费用一般是多少？我能与律师当面沟通吗？",4.917940050363541
签了购房合同等于取得房屋产权吗,"签了购房合同后，是否就意味着已经拥有了房屋产权？, 购房合同签订后，为什么还需要等待房产证才能证明产权归购房者？, 房屋产权转移的过程是什么？仅仅签合同就能取得产权吗？, 签订购房合同后，房屋产权的正式过户手续还需要哪些步骤？, 购房合同只是房屋产权转移的一个环节吗？",5.866625815629959
迷信诈骗团伙老板和骨干会被判刑多少年,"骗局的组织者和骨干成员会被判多少年刑期？, 骗取大量财物并有其他特别严重情节的诈骗犯，将面临多久的刑期？, 骗局涉及的金额达到特别巨大，团伙的核心成员会被判几年？, 诈骗团伙老板如果诈骗金额巨大，最重的判刑年限是多少？, 骗局中金额特别大且有特别严重情节时，团伙的核心成员刑期如何判定？",5.886544615030289
婚后买房，婆婆出了一半钱，离婚房怎么分,"婚后买的房子，婆婆出了一半钱，离婚时房产怎么分配？, 婚后买的房子，婆婆资助了一部分，离婚时该如何处理房产？, 婚后购房，婆婆帮助支付一半，离婚时房产如何分割？, 婚后买的房，婆婆出了一半的钱，离婚时怎么分配这套房产？, 婚后购房，婆婆提供了部分资金，离婚时房产如何分配？",2.628682315349579
你好，我问农村住宅基地申请书怎么写？,"农村住宅用地申请书该如何撰写？, 申请建房用地时，村委会需要提供哪些意见？, 如何写出一份完整的农村住宅基地主体申请书？, 申请农村住宅基地时如何说明使用面积和地块位置？, 农村自建住房需要申请的土地条件有哪些？",5.543337017297745
刑事案件，怎么收费，请律师都是有哪些费用,"刑事案件请律师的费用一般是多少？, 在刑事案件中，如何通过与律师沟通来影响收费标准？, 不同的律师对于刑事案件的收费有何不同之处？, 选择律师处理刑事案件，费用通常会受到哪些因素影响？, 请律师处理刑事案件时，收费与案件的严重性有关吗？",5.4773498475551605
别人欠我工资我到法院起诉都要提供些什么材料,"我该准备哪些材料去法院起诉欠我工资的雇主？, 解决欠薪纠纷，我应该先通过劳动仲裁还是直接向法院提起诉讼？, 欠薪问题起诉法院之前，有哪些准备工作需要做？, 如何通过法院或劳动仲裁途径追讨欠薪，具体需要哪些资料和证据？, 欠薪案件的起诉是否需要提供工资单等支付凭证？",6.621233433485031
交通事故对方主责我次责车辆修理费怎么算,"交通事故中如果对方主责，我的车辆修理费该怎么处理？, 对方主责时，如何操作让他们支付修理费用的一部分？, 如果我车修理费没支付，能否要求对方先行垫付？, 交通事故中，对方主责，我能要求先行支付的修理费比例是多少？, 在事故中对方承担主要责任，我该如何追讨修理费？",5.478428304195404
请问，父亲生前欠下债务要还吗,"如果父亲去世后留下债务，作为继承人我是否需要偿还？, 父亲的债务是否会随遗产一起转移给我？, 如果我接受了父亲的遗产，会不会因此被迫偿还他的债务？, 继承父亲的遗产是否意味着我要负责偿还他生前的债务？, 父亲生前欠款，作为继承人是否会因此被要求还债？",5.410691529512405
公司拖欠工资打什么电话投诉才可以,"如果公司拖欠工资，我该拨打哪个电话进行投诉？, 我的工资没有按时发放，应该向哪个部门报告？, 如何处理公司拖欠加班工资的情况？, 如果公司不按时支付工资，我该如何通过劳动监察部门维权？, 单位拖欠工资，我可以申请哪些途径来维权？",5.764759212732315
钱站利息算高利贷吗？,"钱站的利息算不算高利贷？, 钱站借款超过银行基准利率四倍的部分会触犯高利贷的法律规定吗？, 如果借钱平台的年利息超过24%，它是否符合高利贷的标准？, 钱站的贷款利息标准与法律上高利贷的认定有何关系？, 钱站的借款利率过高，会不会因为超过基准利率的四倍而被认定为高利贷？",5.0204435884952545
你好，在公安局的笔录上画了押，还教了罚款会不会有案底,"你好，公安局的笔录会不会影响我的个人记录？, 你好，笔录只是教育，没有其他后果对吗？, 你好，若没有受到治安处罚，是否不会留下案底？, 你好，做笔录的情况下不会有刑事案底对吧？, 你好，受到了公安局的批评教育，会不会影响我的记录？",6.135847866535187
假如房产证和户口本同时给租赁人办理营业执照会发生什么后果？,"如果房产证和户口本同时提供给租赁人办理营业执照，会有什么法律后果？, 房东签署什么样的协议可以保护自己的利益，避免营业执照办理带来的麻烦？, 房东是否可以仅提供房产证复印件作为租赁合同的一部分？, 房东提供房产证复印件帮助租赁人注册公司，如何规避不必要的法律风险？, 若租户营业执照注销不及时，房东如何通过合同进行约定？",7.014781296253204
请问我是二婚，房子是婚前买的，上午办的结婚证，下午去加的老婆名字，这样算不算夫妻共同财产,"如果我婚前买的房子，结婚后把老婆的名字加上，房子算夫妻共同财产吗？, 结婚证办完后，房子加上老婆名字，是不是意味着房子属于夫妻共同财产？, 婚后我把老婆的名字加到婚前买的房子上，这样房子会被视为共同财产吗？, 如果房子在结婚后加了老婆名字，这是否视为赠予，房子变成了夫妻共同财产？, 如果我婚前购买的房子，婚后加上老婆名字，是否就算赠与她，属于共同财产？",3.6564103960990906
如何区分贪污和受贿？,"如何区分贪污罪与受贿罪？, 为什么贪污罪的实施只能发生在职务期间？, 在哪些情况下行为人既可能构成贪污也可能构成受贿？, 贪污和受贿在权力影响力上有何不同？, 离职后继续收受贿赂算不算受贿罪？",7.31896185874939
公司法人变更工程代建合同是否还有效,"公司法人变更后，工程代建合同是否仍然有效？, 公司法人变动会对已经签署的合同产生影响吗？, 法人变更是否会导致企业原合同自动终止？, 公司法人发生变化，原先签署的合同是否需要重新签订？, 工程代建合同是否会因公司法人更换而作废或失效？",5.30526939034462
带未满周岁孩子无经济来源的签订担保有效吗,"如果担保人没有经济来源，签订担保合同有效吗？, 没有经济来源的人担保他人是否有法律效力？, 如果担保人没有收入来源，是否仍然能为他人提供担保？, 无经济来源的人能担保别人吗？这样签合同会有效吗？, 担保合同是否需要担保人有稳定经济来源？",5.286580741405487
女方欠男方的钱，离婚协议书要不要写让她归还？,"离婚协议书中是否需要写明女方归还男方欠款？, 女方欠钱给男方，离婚协议书中该如何处理？, 离婚协议是否应当包括女方归还债务的条款？, 离婚时，是否需要在协议书中涉及女方还钱的问题？, 女方欠款是否应在离婚协议书中明确要求归还？",4.13312754034996
购房合同丢了怎么办,"如果购房合同丢失了怎么办？, 合同丢失后，如何在银行和开发商之间处理合同问题？, 购房合同丢失，是否需要重新做预售登记？, 如果购房合同丢失，如何证明自己是房屋所有者？, 购房合同丢失后，需要在报纸上刊登声明吗？",4.807289958000183
新房与效果图不一致可否退房,"如果新房的效果图与实际情况不符，是否可以要求退房？, 开发商未按效果图建设房屋，是否应当为此承担一定的经济责任？, 新房的景观部分被遮挡，是否算作开发商的违约行为？, 效果图与新房实际情况有较大差异时，我是否有权要求退款或换房？, 如果新房景观部分与效果图不符，是否有权要求开发商提供补偿或其他解决方案？",5.788720950484276
公司有权没收手机吗？,"公司是否有权没收员工的手机？, 公司是否可以在没有合法依据的情况下扣押手机？, 员工手机被公司没收合法吗？, 公司是否可以随意没收员工的个人财产，如手机？, 如果公司没收员工手机，这种行为是否合法？",5.1699045449495316
老板拖欠工资拒绝给押金怎么办,"老板拖欠工资不发，押金也不给退，我该怎么办？, 遇到工资和押金问题无法解决，应该向劳动部门投诉吗？, 如何应对公司拒绝支付工资和押金的情况？, 公司不发工资，还不退押金，我可以通过什么途径维权？, 如果遇到工资拖欠，押金不退的情况，我应该联系哪个部门？",5.443615227937698
公司实行大小周，每天工作9小时，周六加班没有工资算违法吗,"如果公司实行大小周并且周六加班没有支付工资，这种做法合法吗？, 在没有明确加班费的情况下，实行大小周工作制算违法吗？, 每天工作9小时并且周六没有加班工资，是否违反劳动法？, 大小周工作制下，公司是否有义务支付周六的加班费？, 实行大小周且加班不支付工资，是否构成劳动合同违约？",5.852338075637817
商标第38类被撤销三年不使用需要提供什么证据材料,"商标在被申请撤销连续三年不使用时，注册人需要提供哪些使用证据？, 如何通过证据证明商标在过去三年内实际使用，避免被撤销？, 针对商标撤销三年未使用的情况，如何收集和提交相关证据？, 商标注册人在三年停止使用后，怎样提供有效的证据证明其使用情况？, 商标被撤销申请三年不使用时，注册人需要向商标局提供哪些具体材料？",5.261649668216705
经营权与所有权有什么区别,"使用经营权和所有权有什么本质区别？, 在法律框架下，如何定义使用经营权？, 使用经营权能否让使用者出售或赠与物品？, 使用经营权人的权利和义务与所有权人的有何不同？, 使用经营权是否可在没有所有权的情况下获得利益？",6.039954394102097
公积金可以异地买房么,"公积金可以在异地购买房屋吗？, 申请异地房产公积金贷款需要哪些条件？, 公积金贷款是否可以支持在不同城市买房？, 异地购房使用公积金贷款的条件是什么？, 我是否能用公积金贷款买外地房子？",4.718654692173004
"青少年16岁殴打他人导致手指头断,会有什么惩罚赔多少合适","青少年16岁打伤他人导致手指断裂，可能面临什么法律后果？, 如果16岁未成年人的行为构成故意伤害罪，是否可以申请缓刑？, 16岁未成年人殴打他人，是否应当投案自首才能减轻处罚？, 16岁打伤他人，导致手指断裂，民事赔偿金额应如何确定？, 16岁青少年造成他人重伤后，是否可以通过民事赔偿争取轻判？",6.204144537448883
第二百六十六条刑法，金额九万多，四个人平分，但金额全部退回，还得到对方谅解，像这类情节严重吗,"根据《刑法》第二百六十六条，涉及金额九万多元的案件，四人平分且已全部退回，是否会影响判决结果？, 是否可以考虑到退还赃款和被害人谅解因素，来减轻因金额达到数额巨大的刑罚？, 四名嫌疑人均已退还全部赃款并获得谅解，这种情况下，是否能适用从轻处罚？, 根据《刑法》第二百六十六条规定，金额接近十万元且全额退赔，是否能作为减轻处罚的情节？, 被告退还赃款并且得到对方谅解后，是否仍然会因为金额达到数额巨大而受较重处罚？",7.000506550073624
购房者的信息泄露怎么办,"如果购房者的信息泄露，开发商该如何处理？, 新版购房合同对于买受人信息保密条款的具体内容是什么？, 购房者的个人信息能否在没有授权的情况下对外公开？, 如果开发商未征得购房者同意，是否可以将购房者信息用于其他目的？, 如何防止购房者信息泄露带来的法律风险？",6.724933937191963
我只有离婚协议书再婚可以直接领结婚证吗,"离婚协议书签了之后可以直接去领结婚证吗？, 离婚协议书是否足够作为解除婚姻关系的证明？, 如果我已经签订了离婚协议书，还需要办理离婚登记才能再婚吗？, 离婚协议和结婚证申请有什么关系？, 离婚协议书完成后，还需要什么手续才能再婚？",5.779978036880493
被打了一拳鼻子出血，没有骨折，够成是什么罪,"被打了一拳导致鼻子出血，但没有骨折，这种情况会构成什么罪行？, 鼻子出血没有骨折，能否通过伤残鉴定来确认是否属于轻伤？, 打击导致鼻子出血，如果伤情不算轻伤，是否还能申请民事赔偿？, 被打鼻子出血不骨折，能否要求加害者赔偿医疗费用？, 被打了一拳鼻子出血，这样的伤情是否达到了轻伤标准？",6.104544013738632
通过中介看房，结果与房主私下交易有什么风险,"如果通过中介看房后，直接与房东私下交易，会有哪些风险？, 如果我绕过中介直接与房东签合同，这会对我造成什么样的法律后果？, 在中介安排看房后，直接与房东交易，是否构成违约并会承担相关责任？, 如果我私下和房东签约而不通过中介，这样是否违反了协议？, 看房协议签署后，如果私下交易，是否会被中介追究责任？",5.352552026510239
离婚纠纷管辖权怎么确定,"离婚案件的管辖法院是如何确定的？, 原告住所地与常住地不一致时，离婚案件应由哪个法院管辖？, 离婚纠纷中，管辖法院的确定是否会因为被告的监禁情况而改变？, 如果被告不在中国境内，离婚纠纷应由哪个法院管辖？, 离婚案件管辖法院的选择有哪些特殊情况？",5.520317167043686
入室抢劫故意杀人该怎样判决,"入室抢劫致人死亡应如何判刑？, 对于入室抢劫加故意杀人的罪犯，刑法有何规定？, 入室抢劫致人死亡的犯罪行为，最严重的处罚是什么？, 如果犯有入室抢劫并且故意杀人，法院如何判决？, 入室抢劫致死的罪行，应该受到哪些法律制裁？",4.67782261967659
酒驾110m取保候审法院还会判刑吗,"酒驾被取保候审后，法院是否还会判刑？, 取保候审后酒驾案件，判决结果通常是什么？, 酒驾110m后法院判刑的可能性有多大？, 如果酒精含量超过80且被取保候审，法院会判刑吗？, 被取保候审的酒驾案件，最终会受到什么样的刑事处罚？",5.546124905347824
弟弟死亡哥哥可以继承他的房屋吗？如果政府要拆除有没有补偿,"如果弟弟去世，哥哥能否继承他的房产？, 政府要拆除弟弟的房屋，是否会有补偿？, 在没有第一顺位继承人的情况下，哥哥是否有权继承弟弟的房屋？, 如果弟弟去世，哥哥继承房产需要符合什么条件？, 弟弟的房产被拆除后，是否可以得到政府赔偿？",5.410334527492523
满14周岁不满16周岁的犯贩卖毒品更负什么责任。,"根据我国刑法，未满16周岁的未成年人犯贩卖毒品会承担怎样的刑事责任？, 在中国，14岁以上但未满16岁的人如果犯贩毒，刑法如何处理？, 对于14到16岁之间的未成年人贩卖毒品，刑法规定了什么样的量刑标准？, 根据中国刑法第十七条的规定，未满16岁贩卖毒品的人会怎么被判刑？, 14岁以上未满16岁的人在贩卖毒品的情况下，会面临什么样的法律后果？",4.8819286823272705
被打轻伤二级赔多少钱,"被打轻伤二级能获得多少赔偿？, 轻伤二级赔偿是否包括医疗费、营养费等相关费用？, 受伤导致轻伤二级，是否可以要求赔偿误工费与护理费？, 被打造成轻伤二级的情况下，赔偿标准是多少？, 轻伤二级的赔偿包括哪些具体项目？",5.3414431512355804
出车祸当时没住院两天后住院住院费应该有谁出,"如果车祸发生后没有立即住院，几天后住院费用应该由谁承担？, 如果车祸导致的伤害延迟住院，费用的责任方是谁？, 车祸后没有马上住院，几天后才住院，责任方应该是哪个人？, 如果车祸是由另一方责任引起的，住院费应该由谁付？, 车祸发生后住院费用是由责任方还是自己承担？",5.294825226068497
离婚后一方不给抚养费，还找不到人，怎么办,"离婚后另一方不支付抚养费，怎么处理？, 如果离婚后一方不支付抚养费且下落不明，我该怎么做？, 离婚后一方失联不支付抚养费，如何向法院申请解决？, 离婚后对方不支付抚养费且无法找到，如何采取措施？, 离婚后一方欠抚养费且下落不明，如何追讨？",3.3466941714286804
不宜采取口头形式，电子合同属于书面形式吗,"电子合同是否可以视为书面合同的一种形式？, 电子合同在法律规定中算作书面形式吗？, 电子合同能否按书面合同的标准来执行？, 在法律上，电子合同可以归类为书面形式吗？, 电子合同是否等同于《合同法》所规定的书面合同形式？",4.161077529191971
外卖小哥受伤，点餐人要不要赔偿,"外卖小哥在送餐途中受伤，是否应该由雇佣他的餐厅负责赔偿？, 外卖员受伤是餐厅的责任吗？, 餐厅是否应该为外卖员在送餐过程中发生的事故负责？, 外卖员受伤的情况下，责任是否应归于雇佣他的饭店？, 外卖员在工作时发生意外，餐厅要不要负担赔偿？",5.1872506737709045
我跟老公离婚老公说一分钱都不给我这怎么办,"我跟老公离婚，他说一分钱都不给我，怎么办？, 如果丈夫不愿意分割共同财产，我可以向法院起诉吗？, 离婚时，我应该如何保障自己的财产权益？, 在离婚时他不愿给我财产，是否可以通过法律途径解决？, 如果他不按照法律分配财产，我该如何要求分割？",6.276235863566399
猪场占地合同到期拆迁国家给补偿吗?,"猪场合同到期后，国家是否会提供补偿？, 猪场拆迁补偿是针对土地还是建筑物？, 猪场拆迁补偿是根据合同还是根据政策来执行？, 国家拆迁猪场时，是否考虑土地的使用权补偿？, 如果猪场合同到期，拆迁时需要支付建筑物补偿吗？",5.229371428489685
我们河*驻*店*舆*房*局就那么不*事吗？民心怨交房日期延长了六年了如今还没有一点动静,"我们的房产项目为什么已经延迟了六年，仍然没有任何进展？, 河驻店舆房局是否意识到民众因交房延期而产生的强烈不满情绪？, 六年的时间过去了，河驻店舆房局到底在拖延什么，为什么不解决交房问题？, 在交房时间不断推迟的情况下，河驻店舆房局有没有考虑过民众的利益？, 为什么河驻店舆房局未能按照原定计划完成交房，且没有给出解决方案？",7.062835559248924
本人在工地干活造成韧带拉伤劳务公司不给赔钱咋办,"我在工地上工作时韧带受伤，劳务公司拒绝赔偿，应该怎么办？, 如何解决劳务公司拒绝赔偿工地受伤问题，尤其是韧带拉伤？, 如果在工地韧带拉伤，劳务公司不赔偿，我能申请工伤认定和伤残鉴定吗？, 由于在工地工作时拉伤了韧带，劳务公司不愿意承担赔偿责任，怎么解决？, 工地受伤导致韧带拉伤，劳务公司不给赔偿，我可以申请劳动仲裁吗？",4.377225369215012
婚后个人买的保险属于个人财产吗,"婚后购买的保险是否属于个人财产？, 婚后购买的保险和婚前购买的保险有什么财产归属上的区别？, 如果婚后开始支付保险费，是否属于夫妻共同财产？, 保险如果是在结婚后购买，是否应算作个人财产？, 婚后的保险购买会影响财产分配吗？",5.0081978142261505
办理离婚协议注意哪些问题,"离婚前，夫妻双方应确保是自愿离婚吗？, 如果财产分割产生争议，夫妻是否应咨询法律专业人士？, 离婚时，谁应负责抚养孩子，并为孩子提供更好的成长环境？, 离婚协议中，是否需要详细注明财产的购买时间和所有权归属？, 离婚时，是否可以给对方一次改正的机会，以挽回感情？",7.261537089943886
"右手大拇指除外,手掌断离已接好,无名指与小指断掉了一截,请问是几级伤残","我的右手大拇指完好无损，但手掌断离已接好，无名指和小指缺失一部分，这属于几级伤残？, 右手大拇指未受伤，手掌修复完成，但无名指和小指部分缺失，伤残等级应当评为几级？, 右手大拇指未受伤，手掌经过接合，无名指和小指受损，这样的伤情会被判定为几级伤残？, 我的右手大拇指完好，手掌经过修复，无名指和小指缺少了一部分，评定伤残等级会是多少？, 如果右手大拇指没有受伤，手掌断离已接好，但无名指和小指缺失一部分，这种情况应该评定为几级伤残？",3.32695209980011
补回来的银行卡有交易记录吗？,"补办的银行卡上会有之前的交易记录吗？, 办理农行挂失补卡时，原卡的交易会转移到新卡吗？, 挂失补卡后，能否查询到原银行卡的交易信息？, 重新办理的农行借记卡会显示原卡的交易历史吗？, 如果我换卡，原卡的交易记录会保留吗？",5.149985253810883
贷的太少了，可以提前还清贷款，然后多贷点他用吗,"如果我还清了现有贷款，能否申请更高额度的贷款？, 贷款提前结清后，能否增加贷款金额？, 如果我提前偿还贷款，我可以申请更多资金吗？, 提前还款后，我是否能贷到更多的钱？, 我想问，如果提前还款，能否申请更高的贷款额度？",4.462338536977768
能缓解资金周转问题吗,"申请贷款能帮助缓解资金周转困难吗？, 如果我遇到资金周转问题，贷款是否是个可行的选项？, 在急需资金时，贷款是否能够及时解决问题？, 如果资金不足，能通过贷款方式缓解压力吗？, 资金流动性差时，申请贷款是否能带来帮助？",5.905402988195419
农行公户转对方农行公公要不要手续费,"农行公户转账到对方农行公户需要手续费吗？, 如果是同一家农行的公户之间转账，是否收费？, 在农业银行进行对公转账，是否会产生手续费？, 转账到另一个农行公户时，手续费标准是什么？, 如果是对公转账到农行其他分行，是否收费？",5.086357474327087
农行网银登录进去显示不出是怎么回事,"为什么我在登录农行网银时，页面显示不出来？, 农行网银登录后无法显示，是什么原因导致的？, 登录中国农业银行网银时，为什么页面没有任何反应？, 农行网银登录时，怎么解决页面无法显示的问题？, 为什么农行网银登录时没有加载页面内容，应该如何处理？",5.237638771533966
想借高利贷需要什么,"借高利贷需要哪些条件？, 如何选择一个可靠的高利贷平台？, 在急需资金时，应该如何选择贷款渠道？, 有什么方法可以避免借高利贷？, 申请高利贷时，借款人需要提供哪些信息？",6.3331089317798615
哪里住宿便宜，最便宜的那种,"农行的ETC信用卡持卡人如何领取酒店现金券？, 汉庭、全季、宜必思等酒店的300元现金抵用券怎样领取？, 参与农行酒店现金券活动有哪些具体步骤？, 农行酒店现金抵用券是否可以和其他优惠叠加使用？, 农行的300元酒店券是否有使用时间限制？",6.3184288293123245
农行同行跨省多久到账,"农行跨省转账一般多久到账？, 转账到农行的信用卡，什么时候会显示已还款？, 在农行通过普通转账方式，款项一般多久到对方账户？, 选择农行的次日转账，具体是24小时内到账吗？, 农行个人掌银的转账到账时间是多少？",5.73124885559082
我在农行有房贷了还可以办理车贷吗,"我已经在农行有房贷了，能否再申请车贷？, 农行房贷和车贷能同时办理吗？, 是否能在有房贷的情况下申请农业银行的车贷？, 我已经贷款买了房，是否可以申请汽车贷款？, 我已经在农业银行有房贷，现在还可以办理车贷吗？",4.753572732210159
6320是哪个银行的号码,"6320开头的银行卡属于哪个银行？, 以6320为前六位的卡号，是不是农行的借记卡？, 是否可以确定6320开头的银行卡是农业银行？, 如果卡号开始于6320，那是哪个银行的卡？, 62##52开头的卡片是什么银行的？",6.099166214466095
深圳市精工小额贷款有限公司是正规的吗？,"深圳市精工小额贷款有限公司是正规公司吗？, 精工小额贷款公司是否符合金融行业规定？, 深圳精工小额贷款公司的经营模式合规吗？, 精工小额贷款公司有没有金融许可证？, 精工小额贷款有限公司的信用怎么样？",4.447609752416611
银行贵宾卡有什么特权，什么银行的最好用,"贵宾卡的特权有哪些？, 贵宾客户能获得哪些专门的优先服务和通道？, 银行的贵宾卡和普通卡有什么不同之处？, 贵宾卡持有者可以享受哪些医疗健康方面的增值服务？, 贵宾客户如何使用金钥匙贵宾卡进行身份认证？",6.557620048522949
老农提额失败，过多久可以重新申请提额,"农行信用卡提额失败后，需要多久才能重新申请提升额度？, 农行信用卡提额未通过，什么时候能再次尝试？, 农行信用卡额度提升申请被拒，应该等多久才可以重新申请？, 如果农行信用卡提额没有成功，多久之后可以再次申请？, 申请农行信用卡提升额度失败，过多久可以重新发起请求？",3.763110339641571
国旭小额贷款可靠不,"国旭小额贷款是否值得信赖？, 是否可以通过农业银行的“网捷贷”来申请小额贷款？, 国旭小额贷款的风险评估机制如何？, 有没有推荐的正规渠道可以申请小额贷款？, 我可以放心选择国旭小额贷款吗？",6.344835117459297
广州市盛融小额贷款股份有限公司是骗子公司吗？,"广州市盛融小额贷款股份有限公司是否是一家可靠的公司？, 申请网捷贷的流程是怎样的，是否便捷？, 盛融小额贷款是否有任何消费者投诉或负面评论？, 如何判断贷款公司是否具备合法经营资格？, 我可以通过哪些正规渠道申请小额贷款？",8.093882076442242
